question_id,N,sign_entropy_gt,sign_entropy_ge,zero_mass,active_coordinates,cv_sigma,zero_variance_coordinates,top32_share,first32_share,first32_top32_intersection,corr_off_mass,corr_median_abs,corr_p95_abs,residual_mean_max_abs
4d6b87c8,516,0.9972288144497895,0.9972288144497895,0.0,96,0.49634717456181565,0,0.7600299718324633,0.7600299718324633,32,0.14344779880042555,0.00369713813888758,0.011922062506321966,3.478053331989468e-16
4dfccbf7,521,0.9964441061278859,0.9964441061278859,0.0,96,0.5056395380535158,0,0.7653963489242618,0.7653963489242618,32,0.1511893688652717,0.004623485733978097,0.016146847843013214,1.5896859431293028e-16
4dfccbf8,455,0.9914767149776896,0.9914767149776896,0.0,96,0.5050169389621487,0,0.7654063333287486,0.7654063333287486,32,0.1534540498888253,0.004799007457853658,0.01613900125243315,1.160244061998378e-16
4f54b7c9,491,0.9969466419507116,0.9969466419507116,0.0,96,0.5027493710057956,0,0.7655212717083237,0.7655212717083237,32,0.15214814080156464,0.004410815925889837,0.015589790548778388,1.7365606576621593e-16
4fd1909e,554,0.9976054035579724,0.9976054035579724,0.0,96,0.49646703086716565,0,0.7585730472684153,0.7585730472684155,32,0.15438987687940256,0.0051888822958218225,0.018625716425015395,2.2464982140880874e-16
5025383b,446,0.9951509681887387,0.9951509681887387,0.0,96,0.5002211583801429,0,0.7603860814631381,0.7603860814631381,32,0.14717413977385777,0.004236961603869109,0.015216864463276481,5.2586236312122045e-17
505af2f5,501,0.9967260595473472,0.9967260595473472,0.0,96,0.48986571651386074,0,0.7546618651111645,0.7546618651111645,32,0.15512431635202295,0.00511661752433471,0.018799071539596843,9.269863652465285e-17
50635ada,531,0.9975771672842714,0.9975771672842714,0.0,96,0.5035337260631391,0,0.765731663831718,0.765731663831718,32,0.15218501765785628,0.004493438874906234,0.016505452982644102,3.191629843861208e-16
51a45a95,529,0.9975707734390843,0.9975707734390843,0.0,96,0.5047283037030482,0,0.765905985241532,0.765905985241532,32,0.14850973948004625,0.004371420956786951,0.015311253893590213,3.567824464768934e-16
51b23612,481,0.9980964596141547,0.9980964596141547,0.0,96,0.49860748032985325,0,0.7595425720648533,0.7595425720648533,32,0.1518578942895399,0.004334602749276419,0.01673391656987803,4.4293513186188676e-16
51c32626,490,0.9975464684173502,0.9975464684173502,0.0,96,0.48833441668132577,0,0.7545726382321848,0.7545726382321848,32,0.15541677920931454,0.00520634087595593,0.017698265149238675,7.845198413805315e-17
54026fce,472,0.997915544519226,0.997915544519226,0.0,96,0.4932581344994629,0,0.7588318442799988,0.7588318442799986,32,0.14433446958373614,0.0034658778554481325,0.012747185209779147,8.162020964934944e-17
545bd2b5,461,0.9976450249048566,0.9976450249048566,0.0,96,0.4917378110259543,0,0.756910899014469,0.756910899014469,32,0.15110017814592921,0.004392000289784487,0.01608300845255186,5.055909896577957e-17
55241a1f,514,0.9977291387835173,0.9977291387835173,0.0,96,0.5035730421803708,0,0.7618876111800816,0.7618876111800817,32,0.15441109356605984,0.004566716916770703,0.017417133922203565,3.792902006306955e-16
561fabcd,495,0.9967360863377511,0.9967360863377511,0.0,96,0.5059951402888213,0,0.762290118721263,0.762290118721263,32,0.15595862147502523,0.005071999541622713,0.018010034844749254,2.4548264655600685e-16
577d4d32,487,0.9969732654635971,0.9969732654635971,0.0,96,0.5013254018868476,0,0.7628764945554062,0.7628764945554062,32,0.15008033047749217,0.004084814292795982,0.014469345163349192,7.095054637350397e-16
57f827a0,495,0.997522680148666,0.997522680148666,0.0,96,0.4954041706368,0,0.7592544406195506,0.7592544406195506,32,0.15067001971568503,0.00460013573823807,0.016599285767214846,3.749280627825832e-17
5809eb10,606,0.9929005059811417,0.9929005059811417,0.0,96,0.5281407804959688,0,0.7740157552568661,0.7740157552568661,32,0.16230568405567525,0.005743919657455109,0.020951706305596934,9.421323274149947e-17
