question_id,geometry,method,itq_seed,gold_mean,gold_median,non_gold_mean,non_gold_median,nearest_gold,nearest_non_gold,separation_non_gold_minus_gold_mean,gold_minus_non_gold_mean
0977f2af,COSINE,FLOAT96_UNCENTERED,,0.364051723317399,0.364051723317399,0.1414395664464696,0.11522658307943898,0.5204467935981207,0.5675853368647477,-0.2226121568709294,0.2226121568709294
0977f2af,COSINE,FLOAT96_CENTERED,,0.23646873959208808,0.23646873959208808,-0.0001505925470067777,-0.03367612740578596,0.4404989031008895,0.47889517589725095,-0.23661933213909486,0.23661933213909486
099778bb,HAMMING,SIGN96_CENTERED,,32.5,32.5,48.359913793103445,48.5,32.0,18.0,15.859913793103445,
099778bb,HAMMING,ITQ96_CENTERED,101.0,15.5,15.5,47.95905172413793,49.0,13.0,6.0,32.45905172413793,
099778bb,HAMMING,ITQ96_CENTERED,202.0,18.5,18.5,48.331896551724135,50.0,15.0,6.0,29.831896551724135,
099778bb,HAMMING,ITQ96_CENTERED,303.0,14.0,14.0,48.377155172413794,50.0,11.0,3.0,34.377155172413794,
099778bb,HAMMING,ITQ96_CENTERED,404.0,17.0,17.0,47.8426724137931,49.0,10.0,2.0,30.842672413793103,
099778bb,HAMMING,ITQ96_CENTERED,505.0,19.0,19.0,47.875,49.0,18.0,7.0,28.875,
099778bb,COSINE,FLOAT96_UNCENTERED,,0.7727476311344568,0.7727476311344568,0.06103912666396886,0.02501627837795379,0.7917500105297279,0.9150445353316148,-0.711708504470488,0.711708504470488
099778bb,COSINE,FLOAT96_CENTERED,,0.7566194987627494,0.7566194987627494,-0.0033562064154775274,-0.03720766724530444,0.7789245945954997,0.9103817252379154,-0.7599757051782269,0.7599757051782269
09ba9854,HAMMING,SIGN96_CENTERED,,26.0,26.0,47.65408805031446,48.0,25.0,26.0,21.654088050314463,
09ba9854,HAMMING,ITQ96_CENTERED,101.0,22.0,22.0,48.20754716981132,49.0,18.0,14.0,26.20754716981132,
09ba9854,HAMMING,ITQ96_CENTERED,202.0,19.0,19.0,48.064989517819704,49.0,15.0,9.0,29.064989517819704,
