question_id,N_archive,word_columns,char_columns,combined_columns,base_rep_fit_seconds,svd96_fit_seconds,itq96_fit_seconds_5seeds,query_transform_seconds,centered_doc_norm_min,centered_doc_norm_max,centered_query_norm
e25c3b8d,530,39372,55909,95313,1.5597581600000012,4.818381964999844,1.1493139669998982,0.04708150500005104,0.8384762611701607,1.0058008556846,1.0076000783014527
e3038f8c,458,38596,55871,94499,1.7376593009998942,4.40700601399999,1.5538222079999287,0.04285740199998145,0.8571707619133972,1.0247658242152353,0.9652131567111748
e3fc4d6e,519,40192,59692,99916,1.998460482000155,5.134483058000114,1.494637165000313,0.047216085000172825,0.847441858727627,1.0149011993323738,0.9243135440084617
e47becba,550,39251,56544,95827,1.1589208709999639,5.181187115000057,1.164094887000033,0.02358151999999336,0.8334608834936335,1.0191813202575128,0.9647995139018505
e48988bc,530,40789,58068,98889,1.9391210979999869,5.0337053260000175,1.0194919900002333,0.04281781600002432,0.85209057768871,1.0112355061118032,0.9520669215330699
e493bb7c,506,40466,57080,97578,1.5006885999998758,6.093321908999997,1.4159715240000423,0.056214043000181846,0.8572445978275304,0.9964944386509179,0.9836825106244826
e4e14d04,461,39713,59720,99465,1.251767233999999,4.677232959000094,1.7491908710001098,0.051522519000172906,0.8443385012185795,1.016288369073256,0.9810091012848728
e56a43b9,448,39216,60716,99964,1.0512263939999684,5.061553532000062,1.5285231810000823,0.03142456000000493,0.8646388292204994,1.0012529534335413,0.9916745733482072
e6041065,493,38937,55929,94898,1.7721371630000249,6.521367599000087,1.2962107070002276,0.16331962899994323,0.8516913988226015,1.0052393234967911,0.9585730648132241
e61a7584,496,39105,53830,92967,2.2204329260000577,5.63470845400002,1.2122066459999132,0.04272752799988666,0.8371560441276461,1.024587087690845,0.9915896609143392
e66b632c,506,38111,57396,95539,1.3995657349998964,4.744809766000117,1.2990084120001484,0.06005207800012613,0.839286221455508,1.021804647771763,0.945004435424679
e831120c,481,38769,58822,97623,1.8105952630000957,6.394484382999963,0.9643247680000968,0.03781757199999447,0.8174382252293092,1.0283269306511569,0.9805532563001023
e8a79c70,483,39496,57956,97484,1.5412870979998843,5.610963703999914,1.3051851399998213,0.028551314999958777,0.8612544402622785,1.0125217498358272,0.9480722963839425
e9327a54,533,38066,57617,95715,1.5621940140001698,6.0232733870000175,1.3979627849996632,0.03370934700001271,0.8493275236347996,1.0072681378800878,0.9300005721051742
e982271f,589,39677,56095,95804,1.5393670199998724,5.32086075899997,1.411502222999843,0.08288235899999563,0.8331128411557527,1.0202400452793152,0.9896599155349721
eac54adc,464,38993,59612,98637,0.9269870660000379,4.893624031999934,1.386701715000072,0.03873221300000296,0.8338796659897506,0.9997248751363519,0.9110264549358654
eac54add,476,38919,55190,94141,1.9396219299999302,4.689383961999965,1.2573317350002071,0.029628059999822653,0.8538064621274501,0.9986364426006602,0.9566839332695807
eaca4986,513,38675,56955,95662,1.6978811100000257,5.54401236700005,1.4470938140000271,0.056892719999950714,0.8381295076533463,1.0144457112625127,0.9133265869376584
eace081b,489,39924,59861,99817,1.6105095069999606,4.5844449830001395,1.3136161969998739,0.03256675000011455,0.8486296764764615,1.0033210199689402,0.9976188035835792
ec81a493,495,40413,53376,93821,2.5580424469999343,5.504334665999977,1.3109074519998103,0.025313355999969644,0.8720734797695295,1.0140075251447065,1.0208337274021166
ed4ddc30,543,39121,58405,97558,2.5675946590001786,4.629402504999916,1.2791073260000303,0.03494127799990565,0.838600329555189,1.0113212955167692,0.9842542584581166
edced276,482,40010,62018,102060,1.4910839319998104,5.185655792999796,1.4051360079999995,0.028796672999988004,0.8321029715862747,1.0149080092154923,0.9108730481984655
eeda8a6d,513,39800,57877,97709,1.6674309500001527,4.663377830000172,1.7830726520001008,0.04174943899988648,0.845345966411577,1.0084072090899836,0.9881571188592314
ef66a6e5,445,38892,57827,96751,1.8381740559998434,4.968594651999865,1.5037031870001556,0.04066818299997976,0.8460200809919796,1.010465384927358,0.9685333410781936
ef9cf60a,522,40005,62543,102580,1.070929834000026,4.990877912999849,2.603587001000051,0.08392931900016265,0.8500302001584277,1.020613341179487,0.9624078232326959
efc3f7c2,497,40511,61623,102166,1.4395974369999749,4.7027378949999274,1.5266621699997813,0.05149451399984173,0.8580246965180086,1.0089526115932617,0.9627155615172116
f0853d11,500,39356,58281,97669,1.8998627319999741,5.945045972000116,1.311979316000361,0.0567532749998918,0.8304438254788439,1.0121356272139979,0.9781232219922592
f0e564bc,508,39148,57349,96529,1.8682531270001164,4.010380568000073,1.2581891029999497,0.026757067000062307,0.8308180705237361,1.004170961261587,0.9577007603765769
f35224e0,515,39810,59373,99215,2.0297040670000115,5.445991656999922,1.2800275259996852,0.025591704999897047,0.8389936082074108,1.0172563844836915,0.9565564294627288
f4f1d8a4,585,40168,57576,97776,1.296746383000027,4.091666217000011,1.3928651789998412,0.056408796000027905,0.8578458722227006,1.0152604978394757,0.9605327673586146
f523d9fe,484,40574,58346,98952,1.7767527959999825,4.880750273999865,1.127316399999927,0.07082922000017788,0.8386398404279225,1.0107570861222415,0.8893304084128647
f685340e,424,38030,57310,95372,1.3436624579999261,4.998037311999951,1.5204144480001105,0.09790423699996609,0.8609908878859801,1.0129385455136928,0.9808967251625162
f8c5f88b,487,39350,55867,95249,1.1022728899999947,4.124834934999967,1.3449942140001667,0.05476544999999078,0.8354011222731732,0.9981154744120107,0.9816077630826895
f9e8c073,504,40666,58682,99380,2.4217409039999893,4.976089850000108,1.5446993790001216,0.04720064299999649,0.8203940645452765,1.0059515057862887,0.9689341554211561
faba32e5,473,40103,57504,97639,1.0643296849999615,4.779208130000029,1.2970309459998361,0.13031598400004896,0.8641327266206255,1.0053628808024409,0.9725808496518731
fca70973,442,38912,61004,99948,1.633469451999872,7.849121986,1.231901603000324,0.0608618399999159,0.8250645493803894,1.0106031196834069,0.9468001380746308
fca762bc,459,38989,57844,96865,2.0295232840001063,4.98493205800014,1.284155998000415,0.052454462000014246,0.8728795730311365,1.005473268381264,0.8979892780820684
fea54f57,527,41431,62524,103987,1.5767538860000059,4.461312241999849,1.299854139999752,0.0759794119999242,0.810839459528186,1.0062716417480064,0.9382583895984061
gpt4_0a05b494,506,38572,58063,96667,0.9549575990001813,5.858888239999942,1.227203242000087,0.06499260800001139,0.7914500885093846,1.003678750373604,0.9385493912583178
gpt4_0b2f1d21,497,38966,63904,102902,1.36274216899983,6.1340759400000024,1.395837094999706,0.06610484900011215,0.833526766141725,1.0224705996717216,0.9897008687878904
gpt4_15e38248,470,38281,55903,94216,0.8408748960000594,4.100361980999878,1.3047083260000818,0.05317407899997306,0.8570904562974792,0.9979239369826459,0.9146434033853355
