question_id,method,itq_seed,N_archive,min_hamming_distance,candidates_at_min_distance,top3_boundary_distance,candidates_at_top3_boundary_distance,slots_remaining_at_boundary,top3_boundary_tie,boundary_tie_size_median,boundary_tie_size_p90,boundary_tie_size_max
7a8d0b71,ITQ96_CENTERED,303.0,489,10.0,1.0,15.0,1.0,1.0,0.0,,,
7a8d0b71,ITQ96_CENTERED,404.0,489,12.0,2.0,14.0,1.0,1.0,0.0,,,
7a8d0b71,ITQ96_CENTERED,505.0,489,11.0,1.0,14.0,1.0,1.0,0.0,,,
7e00a6cb,SIGN96_CENTERED,,564,19.0,1.0,25.0,1.0,1.0,0.0,,,
7e00a6cb,ITQ96_CENTERED,101.0,564,17.0,1.0,20.0,3.0,1.0,1.0,,,
7e00a6cb,ITQ96_CENTERED,202.0,564,12.0,1.0,18.0,1.0,1.0,0.0,,,
7e00a6cb,ITQ96_CENTERED,303.0,564,15.0,2.0,16.0,1.0,1.0,0.0,,,
7e00a6cb,ITQ96_CENTERED,404.0,564,15.0,1.0,18.0,1.0,1.0,0.0,,,
7e00a6cb,ITQ96_CENTERED,505.0,564,11.0,1.0,18.0,1.0,1.0,0.0,,,
7e974930,SIGN96_CENTERED,,502,18.0,1.0,25.0,1.0,1.0,0.0,,,
7e974930,ITQ96_CENTERED,101.0,502,11.0,2.0,13.0,2.0,1.0,1.0,,,
7e974930,ITQ96_CENTERED,202.0,502,10.0,1.0,15.0,2.0,1.0,1.0,,,
7e974930,ITQ96_CENTERED,303.0,502,4.0,1.0,12.0,1.0,1.0,0.0,,,
7e974930,ITQ96_CENTERED,404.0,502,9.0,1.0,16.0,1.0,1.0,0.0,,,
7e974930,ITQ96_CENTERED,505.0,502,13.0,1.0,15.0,1.0,1.0,0.0,,,
8077ef71,SIGN96_CENTERED,,554,30.0,1.0,33.0,1.0,1.0,0.0,,,
8077ef71,ITQ96_CENTERED,101.0,554,9.0,1.0,11.0,4.0,1.0,1.0,,,
8077ef71,ITQ96_CENTERED,202.0,554,11.0,1.0,12.0,4.0,2.0,1.0,,,
8077ef71,ITQ96_CENTERED,303.0,554,13.0,4.0,13.0,4.0,3.0,1.0,,,
8077ef71,ITQ96_CENTERED,404.0,554,16.0,1.0,18.0,3.0,2.0,1.0,,,
8077ef71,ITQ96_CENTERED,505.0,554,11.0,1.0,12.0,3.0,2.0,1.0,,,
80ec1f4f,SIGN96_CENTERED,,487,30.0,1.0,35.0,2.0,2.0,0.0,,,
80ec1f4f,ITQ96_CENTERED,101.0,487,16.0,1.0,22.0,1.0,1.0,0.0,,,
80ec1f4f,ITQ96_CENTERED,202.0,487,18.0,1.0,22.0,3.0,1.0,1.0,,,
80ec1f4f,ITQ96_CENTERED,303.0,487,20.0,1.0,22.0,4.0,2.0,1.0,,,
80ec1f4f,ITQ96_CENTERED,404.0,487,12.0,1.0,22.0,5.0,2.0,1.0,,,
80ec1f4f,ITQ96_CENTERED,505.0,487,15.0,1.0,18.0,2.0,2.0,0.0,,,
81507db6,SIGN96_CENTERED,,510,23.0,1.0,29.0,1.0,1.0,0.0,,,
81507db6,ITQ96_CENTERED,101.0,510,17.0,2.0,18.0,2.0,1.0,1.0,,,
81507db6,ITQ96_CENTERED,202.0,510,11.0,1.0,15.0,1.0,1.0,0.0,,,
81507db6,ITQ96_CENTERED,303.0,510,12.0,1.0,18.0,1.0,1.0,0.0,,,
81507db6,ITQ96_CENTERED,404.0,510,14.0,1.0,19.0,2.0,1.0,1.0,,,
81507db6,ITQ96_CENTERED,505.0,510,17.0,2.0,21.0,1.0,1.0,0.0,,,
830ce83f,SIGN96_CENTERED,,511,23.0,1.0,28.0,1.0,1.0,0.0,,,
830ce83f,ITQ96_CENTERED,101.0,511,16.0,1.0,19.0,2.0,2.0,0.0,,,
830ce83f,ITQ96_CENTERED,202.0,511,23.0,2.0,24.0,2.0,1.0,1.0,,,
830ce83f,ITQ96_CENTERED,303.0,511,19.0,1.0,21.0,2.0,2.0,0.0,,,
830ce83f,ITQ96_CENTERED,404.0,511,20.0,1.0,21.0,2.0,2.0,0.0,,,
830ce83f,ITQ96_CENTERED,505.0,511,16.0,1.0,20.0,1.0,1.0,0.0,,,
8464fc84,SIGN96_CENTERED,,484,18.0,1.0,24.0,1.0,1.0,0.0,,,
8464fc84,ITQ96_CENTERED,101.0,484,8.0,2.0,9.0,2.0,1.0,1.0,,,
8464fc84,ITQ96_CENTERED,202.0,484,5.0,1.0,7.0,1.0,1.0,0.0,,,
8464fc84,ITQ96_CENTERED,303.0,484,6.0,2.0,7.0,2.0,1.0,1.0,,,
8464fc84,ITQ96_CENTERED,404.0,484,8.0,2.0,9.0,3.0,1.0,1.0,,,
8464fc84,ITQ96_CENTERED,505.0,484,2.0,1.0,4.0,2.0,2.0,0.0,,,
852ce960,SIGN96_CENTERED,,396,17.0,1.0,30.0,3.0,1.0,1.0,,,
852ce960,ITQ96_CENTERED,101.0,396,16.0,2.0,17.0,1.0,1.0,0.0,,,
852ce960,ITQ96_CENTERED,202.0,396,14.0,1.0,19.0,1.0,1.0,0.0,,,
852ce960,ITQ96_CENTERED,303.0,396,15.0,1.0,19.0,1.0,1.0,0.0,,,
852ce960,ITQ96_CENTERED,404.0,396,19.0,1.0,21.0,2.0,2.0,0.0,,,
852ce960,ITQ96_CENTERED,505.0,396,17.0,1.0,22.0,1.0,1.0,0.0,,,
853b0a1d,SIGN96_CENTERED,,512,17.0,1.0,27.0,1.0,1.0,0.0,,,
853b0a1d,ITQ96_CENTERED,101.0,512,5.0,1.0,7.0,2.0,1.0,1.0,,,
853b0a1d,ITQ96_CENTERED,202.0,512,4.0,3.0,4.0,3.0,3.0,0.0,,,
853b0a1d,ITQ96_CENTERED,303.0,512,6.0,3.0,6.0,3.0,3.0,0.0,,,
853b0a1d,ITQ96_CENTERED,404.0,512,4.0,1.0,5.0,3.0,2.0,1.0,,,
853b0a1d,ITQ96_CENTERED,505.0,512,3.0,2.0,5.0,3.0,1.0,1.0,,,
8550ddae,SIGN96_CENTERED,,453,25.0,2.0,30.0,1.0,1.0,0.0,,,
8550ddae,ITQ96_CENTERED,101.0,453,14.0,1.0,15.0,2.0,2.0,0.0,,,
8550ddae,ITQ96_CENTERED,202.0,453,17.0,1.0,19.0,1.0,1.0,0.0,,,
8550ddae,ITQ96_CENTERED,303.0,453,18.0,1.0,19.0,2.0,2.0,0.0,,,
8550ddae,ITQ96_CENTERED,404.0,453,18.0,3.0,18.0,3.0,3.0,0.0,,,
8550ddae,ITQ96_CENTERED,505.0,453,18.0,1.0,20.0,1.0,1.0,0.0,,,
85fa3a3f,SIGN96_CENTERED,,493,22.0,1.0,23.0,2.0,2.0,0.0,,,
