replicate,n_questions,A_full,A_block,A_I,B_full,B_block,B_I,den_full_min,den_full_max,den_block_min,den_block_max,den_full_mean,den_block_mean
94,1338,0.78021292926202368,0.29208395936290366,0.48812896989912002,0.77780037278508352,0.91904702194357579,-0.14124664915849228,0.072318136522172366,0.088660936721474848,-0.023096127838280273,0.008924656559185673,0.082037209054025187,-0.001419140152324011
95,1601,0.75587343674755392,1.2576109012820103,-0.50173746453445633,0.75221535758702551,0.53129190810073479,0.22092344948629072,0.091922508749491899,0.10598827121937682,-0.011471401802444936,0.027837809702269428,0.099415640522292653,0.0062803456173225166
96,1470,0.73418852485710784,2.0653919622101777,-1.3312034373530699,0.73158052517309424,-0.13120156226589588,0.8627820874389901,0.076068243170283961,0.093624095670014007,-0.017144314868804689,0.010366159162077504,0.086104138321995441,-0.0015855523161645763
97,1482,0.74507022067010853,0.36743781482172883,0.3776324058483797,0.74236655159743514,-1.23225290688989,1.9746194584873251,0.070984410326515646,0.093097468407065953,-0.018201973465131333,0.012326733294225595,0.081723696719969374,-0.0027058558011792298
98,1499,0.69663530433932097,0.066296945634223975,0.63033835870509702,0.69592183159083132,2.2873970956261984,-1.5914752640353671,0.084840875157753071,0.10538977432200367,-0.011028095209215938,0.012992839382098942,0.095214561919357121,0.00094469893827153479
99,1562,0.78212936968567714,0.023498030044022289,0.75863133964165486,0.77758232794538762,0.013313167737314094,0.76426916020807356,0.071132883157531024,0.091073969066926802,-0.019097615999024486,0.013822581956384722,0.084938887110542025,-0.0053768977501372078
100,1370,0.65686075635223828,0.8857826955824939,-0.22892193923025561,0.65355703777476493,0.27898898460345389,0.37456805317131103,0.085369192445834741,0.10276341096049124,-0.0042109836635384479,0.026480795968022219,0.095688143030934952,0.011860775112964846
101,1647,0.66187383224813467,0.086352397970814121,0.5755214342773205,0.66077221788893081,0.31591764564767533,0.34485457224125549,0.11016545452793175,0.12458329500223853,0.0068399177969208913,0.037944023021436513,0.11803310693785071,0.019052459822414464
102,1476,0.70193547329686601,-0.30411789336511869,1.0060533666619846,0.70653692692646863,0.37352003871928297,0.33301688820718567,0.082318202348690167,0.11245993617944838,-0.0046890507866117759,0.023709271957119887,0.097022229136626864,0.0098089545669021554
103,1583,0.67210066882712149,-2.1478664522706827,2.8199671210978043,0.66983664679573807,0.36549254267931025,0.30434410411642782,0.10056483069117311,0.11107063893150443,-0.0033222031705923138,0.023546636384602332,0.10705854239990378,0.0072516394428902512
104,1530,0.79490585152002446,0.11944147367161251,0.67546437784841196,0.79376780616500875,1.4355699986619896,-0.64180219249698089,0.080625687311961763,0.10124029163322243,-0.0098164770958889258,0.016488870969263048,0.09260064409148587,0.0022081054428212789
105,1499,0.82385933788602261,5.8238151336257502,-4.9999557957397274,0.81969484727033959,-5.6057444878692992,6.4254393351396386,0.074559018181433068,0.092653533154656686,-0.012652352650684956,0.010799701286300145,0.085851669197224867,-0.00055499133143211701
106,1745,0.68609014451284134,-5.1674800816510018,5.8535702261638427,0.68633649493705029,0.64026840724121581,0.046068087695834481,0.10832953563469322,0.12498807584160693,-0.0061294493723237642,0.031262312027354994,0.11710796342364423,0.0063436260848096313
107,1417,0.77175755105898214,0.61153237819581907,0.16022517286316307,0.76681692605152929,0.35174927549221413,0.41506765055931516,0.073958144302180978,0.092189148771717522,-0.017388345599354815,0.011149393420035625,0.08468327620391837,-0.0028120274221191954
108,1469,0.70423528646640043,0.72850128891752308,-0.024266002451122648,0.70075134289878305,0.52481258638233719,0.17593875651644586,0.092476741547538044,0.10734139537367027,-0.003315128823978386,0.02291950458009806,0.099780700173731529,0.0090454853602337289
109,1393,0.68328221967587299,0.76858970399422832,-0.085307484318355331,0.68040382961967272,0.092866622527173398,0.58753720709249935,0.087326769903941476,0.10268357091580349,-0.0088831914675418233,0.021382935083581162,0.096536697090896642,0.0057568625440125535
110,1570,0.68202929659231981,-0.33767389287968885,1.0197031894720086,0.68089090406406938,0.089269980919680761,0.59162092314438863,0.10367662521484175,0.11558701091901727,0.0012855626326963299,0.02094927206551403,0.10787123521383073,0.0075361616621170135
111,1486,0.65980830296935411,0.27004173098714251,0.3897665719822116,0.65935833737785021,0.17753854432023056,0.48181979305761968,0.10362948364630739,0.11833376060159376,-0.00351374735627763,0.032330881881689477,0.11041997933089794,0.013092041594565168
112,1517,0.63532590222875873,-0.78534414687834464,1.4206700491071034,0.63346547509053663,0.17013088404133136,0.46333459104920527,0.1145687760931664,0.12617839093448857,0.00054932981762256805,0.044774774774774873,0.1211089321028346,0.019651293279342116
113,1424,0.81862826704586811,1.281788270367187,-0.4631600033213189,0.81527898404330645,4.3648519346325374,-3.5495729505892308,0.072523854110932762,0.094377443491688057,-0.012970290392244177,0.010257784804422299,0.085326827336123706,0.00075192040790028614
114,1519,0.68496454997982803,1.1393967646295313,-0.45443221464970329,0.68240312953510496,0.52617775852942195,0.15622537100568301,0.09350507330428337,0.10611437662622655,-0.0088391485626508337,0.013584830245462254,0.10002433461864013,0.0035287548199003258
115,1448,0.8836436646450776,-2.0773528717064318,2.9609965363515096,0.88269636541704577,-0.45701433670641878,1.3397107021234644,0.063397077523458717,0.09196043169618337,-0.022581627459199616,0.0047453471175846473,0.079085343966024901,-0.0087353046647034027
